Comment,Designator,Footprint,LCSC
20K,R7,R_0603_M,
LED,LED1,LED_0603_M,
SWD,P1,MY_DAP,
20K,R12,R_0603_M,
270R,R16,R_0603_M,
AO3401A,Q1,SOT-23,
22p,C6,C_0603_M,
100K,R1,R_0603_M,
100K,R3,R_0603_M,
20K,R2,R_0603_M,
106,C8,C_0603_M,
ETA3409S2F,U2,SOT-23-5,
270R,R15,R_0603_M,
MSK-12C01-07,SW2,MSK-12C01-07,
106,C4,C_0603_M,
150K,R6,R_0603_M,
680K,R5,R_0603_M,
5.1K,R11,R_0603_M,
MF-PSMF110X-2 1.1A 6V,FU1,FU 0805,
104,C7,C_0603_M,
270R,R13,R_0603_M,
22R,R8,R_0603_M,
270R,R14,R_0603_M,
CH549F,U1,QFN-28-1EP_4x4mm_P0.4mm_EP2.4x2.4mm,
typec16_1,J1,typec16_1,
106,C9,C_0603_M,
100K,R4,R_0603_M,
22R,R9,R_0603_M,
2.2uH,L1,L_Bourns-SRN4018,
cap,C1,C_0603_M,
104,C5,C_0603_M,
5.1K,R10,R_0603_M,
104,C2,C_0603_M,
LED,LED3,LED_0603_M,
LED,LED2,LED_0603_M,
SW,SW1,SW_SPST_CK_RS282G05A3,
