Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,cap,C_0603_M,145.06,-98.4,180.0,top
C2,104,C_0603_M,154.86,-99.72,180.0,top
C4,106,C_0603_M,136.5025,-86.8,90.0,top
C5,104,C_0603_M,138.0525,-86.8,90.0,top
C6,22p,C_0603_M,149.3625,-88.77,90.0,top
C7,104,C_0603_M,150.9025,-88.77,90.0,top
C8,106,C_0603_M,152.4325,-88.77,90.0,top
C9,106,C_0603_M,153.9725,-88.76,90.0,top
FU1,MF-PSMF110X-2 1.1A 6V,FU 0805,128.31,-87.24,90.0,top
J1,typec16_1,typec16_1,128.79,-94.64,-90.0,top
L1,2.2uH,L_Bourns-SRN4018,146.1925,-87.9,-90.0,top
LED1,LED,LED_0603_M,150.1,-86.425,180.0,top
P1,SWD,MY_DAP,168.35,-89.56,0.0,top
Q1,AO3401A,SOT-23,131.06,-87.24,90.0,top
R1,100K,R_0603_M,134.91,-86.77,-90.0,top
R2,20K,R_0603_M,157.615,-94.92,0.0,top
R3,100K,R_0603_M,138.0525,-89.86,-90.0,top
R4,100K,R_0603_M,138.7725,-92.4,0.0,top
R5,680K,R_0603_M,144.9325,-92.4,180.0,top
R6,150K,R_0603_M,141.8625,-92.4,180.0,top
R7,20K,R_0603_M,157.635,-93.38,0.0,top
R8,22R,R_0603_M,138.75,-93.99,0.0,top
R9,22R,R_0603_M,138.73,-95.58,0.0,top
R10,5.1K,R_0603_M,136.37,-92.27,90.0,top
R11,5.1K,R_0603_M,136.37,-97.51,-90.0,top
R12,20K,R_0603_M,153.2,-86.405,0.0,top
R13,270R,R_0603_M,158.975,-97.49,0.0,top
R14,270R,R_0603_M,158.975,-99.13,0.0,top
R15,270R,R_0603_M,158.975,-88.94,180.0,top
R16,270R,R_0603_M,158.975,-90.56,180.0,top
SW2,5V 3V,MSK-12C01-07,148.8,-102.05,0.0,top
U1,CH549F,QFN-28-1EP_4x4mm_P0.4mm_EP2.4x2.4mm,150.13,-94.97,0.0,top
U2,ETA3409S2F,SOT-23-5,141.6525,-87.74,0.0,top
